Time,Mic,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA,7A,7V,8A,8V,NA
s,Run LEQ,g RMS,g RMS,g RMS,g RMS, g RMS,g Peak,g Peak,g Peak,g Peak, g Peak,mm/s RMS,mm/s RMS,mm/s RMS,mm/s RMS, mm/s RMS,mm/s Peak,mm/s Peak,mm/s Peak,mm/s Peak, mm/s Peak
3675747702,106.674,0.564,0.083,0.99,0.818,0.08,3.028,0.17,3.663,3.356,0.177,8.994,7.611,11.792,5.828,7.335,16.393,18.262,19.873,12.345,18.346
3675747703,106.255,0.686,0.083,1.007,0.839,0.082,5.526,0.175,4.184,3.438,0.174,8.57,7.095,12.061,6.04,7.374,17.268,17.846,21.957,13.544,19.012
3675747704,106.366,0.731,0.083,1.047,0.872,0.081,4.916,0.181,4.095,3.774,0.176,8.525,7.518,12.041,6.084,7.777,17.765,18.675,21.603,14.559,20.356
3675747705,107.185,0.668,0.082,1.004,0.864,0.082,3.825,0.173,3.953,3.462,0.176,8.901,7.624,12.055,6.207,8.36,18.931,19.765,21.389,14.656,19.464
3675747706,106.095,0.528,0.084,0.975,0.814,0.08,2.17,0.188,3.946,3.419,0.17,8.554,7.723,11.809,5.986,7.327,15.437,17.984,21.135,15.247,19.899
3675747707,106.448,0.523,0.082,0.989,0.803,0.082,1.983,0.174,4.093,3.196,0.166,9.195,7.515,11.502,5.993,7.466,16.125,19.017,20.49,15.915,16.951
3675747708,106.908,0.512,0.084,0.968,0.798,0.081,2.046,0.175,3.888,2.981,0.178,9.258,8.435,11.657,5.939,7.642,16.28,19.886,20.914,14.693,17.542
3675747709,106.59,0.506,0.083,0.964,0.787,0.082,2.119,0.174,4.149,3.361,0.176,9.094,7.462,11.763,5.845,7.391,16.534,18.6,20.907,12.966,16.351
3675747710,106.614,0.507,0.084,0.959,0.8,0.08,1.964,0.172,3.901,2.982,0.172,9.163,7.54,11.587,5.824,7.121,16.705,16.6,20.496,13.388,18.254
3675747711,106.709,0.517,0.082,0.939,0.798,0.082,1.881,0.177,3.728,3.379,0.173,9.273,7.695,11.647,5.786,8.666,16.43,18.854,20.379,12.246,20.846
3675747712,106.294,0.518,0.083,0.958,0.794,0.08,1.947,0.177,4.016,3.766,0.176,9.104,7.918,11.768,5.938,7.075,16.089,18.034,20.452,13.844,17.87
3675747713,106.685,0.52,0.082,0.99,0.806,0.082,1.977,0.177,4.275,2.927,0.171,9.172,7.61,11.591,5.805,7.643,16.246,19.88,20.244,12.972,19.316
3675747714,106.718,0.506,0.083,1.021,0.787,0.081,1.937,0.175,4.131,3.358,0.178,9.165,8.198,11.525,5.804,7.289,16.581,19.398,20.013,13.84,18.309
3675747715,106.73,0.516,0.082,1.037,0.819,0.081,1.985,0.173,4.487,3.388,0.173,9.124,7.567,11.605,5.816,8.149,17.219,17.527,20.009,12.344,19.098
3675747716,106.368,0.502,0.084,0.986,0.794,0.081,1.806,0.179,3.697,3.165,0.175,8.933,8.245,11.717,5.774,7.973,16.527,20.036,20.771,12.127,19.094
3675747717,106.807,0.508,0.082,0.937,0.809,0.082,2.104,0.172,3.963,3.401,0.173,9.217,7.854,11.541,5.76,8.33,17.024,18.022,20.291,12.967,20.159
3675747718,107.002,0.507,0.084,0.983,0.803,0.081,1.967,0.184,4.188,3.76,0.172,9.079,7.478,11.587,5.844,7.12,16.547,18.404,20.108,14.464,17.643
3675747719,106.73,0.511,0.082,0.972,0.83,0.081,2.349,0.173,3.731,4.541,0.172,9.082,8.346,11.629,5.986,7.923,15.874,19.67,20.177,14.218,19.133
3675747720,106.999,0.521,0.083,0.953,0.834,0.081,1.909,0.174,4.089,3.031,0.178,9.215,7.594,11.546,5.945,7.648,17.171,17.419,20.382,13.286,19.316
3675747721,106.797,0.502,0.083,0.975,0.818,0.081,2.037,0.177,3.693,3.335,0.181,8.996,7.891,11.477,5.793,8.345,15.323,18.667,19.726,12.741,21.804
3675747722,106.431,0.51,0.084,1.03,0.833,0.081,1.901,0.183,4.057,3.189,0.186,8.976,8.75,11.595,5.856,6.716,16.118,22.14,19.428,12.934,19.634
3675747723,106.455,0.505,0.082,0.975,0.801,0.081,1.988,0.174,4.115,3.061,0.18,9.003,7.215,11.724,5.859,8.681,16.32,17.955,20.431,12.737,22.082
3675747724,106.59,0.515,0.083,0.982,0.813,0.082,1.936,0.177,3.653,3.372,0.176,9.157,7.491,11.73,5.803,7.415,16.13,18.966,20.756,13.588,18.68
3675747725,106.726,0.516,0.082,0.943,0.773,0.08,1.967,0.186,3.987,3.071,0.175,9.111,7.712,11.646,5.784,7.997,16.936,16.948,20.55,12.389,20.036
3675747726,106.701,0.5,0.083,0.996,0.814,0.082,1.933,0.174,3.702,3.353,0.176,9.082,7.555,11.659,5.77,6.792,17.143,20.353,21.59,12.877,17.6
3675747727,106.91,0.517,0.082,0.987,0.806,0.08,2.21,0.174,3.986,3.386,0.176,9.281,8.709,11.584,5.793,7.578,16.669,21.673,19.928,13.048,16.193
3675747728,107.037,0.513,0.084,0.972,0.818,0.082,1.992,0.184,4.905,3.356,0.177,9.247,7.6,11.697,5.856,7.539,16.986,18.739,20.131,11.988,18.646
3675747729,106.563,0.511,0.084,0.96,0.811,0.081,2.039,0.177,4.426,3.007,0.174,8.942,8.44,11.683,5.87,7.334,16.842,18.709,20.134,13.096,18.103
3675747730,106.569,0.508,0.083,1,0.775,0.082,1.941,0.176,4.04,3.25,0.174,9.129,7.03,11.469,5.747,7.416,16.868,16.948,19.688,13.208,18.815
3675747731,106.584,0.521,0.083,0.968,0.826,0.081,2.094,0.171,3.703,3.756,0.172,9.038,7.25,11.651,5.84,7.97,16.41,17.132,20.468,13.617,19.905
3675747732,106.777,0.512,0.082,0.988,0.841,0.082,2.084,0.187,3.757,3.533,0.181,9.119,7.551,11.624,6.126,7.674,16.962,18.953,20.576,16.455,20.709
3675747733,106.727,0.507,0.083,0.969,0.787,0.081,2.025,0.175,3.867,3.182,0.177,8.916,7.688,11.778,5.777,7.822,16.779,19.165,20.538,12.18,19.279
3675747734,106.598,0.513,0.083,0.966,0.796,0.082,1.896,0.186,4.208,3.779,0.176,9.207,7.57,11.614,5.78,7.628,17.42,20.021,20.509,12.256,20.513
3675747735,106.759,0.511,0.083,0.978,0.834,0.081,2.089,0.175,4.077,3.44,0.169,8.99,8.091,11.613,5.802,8.033,17.212,19.934,19.722,13.106,19.545
3675747736,106.549,0.521,0.083,0.978,0.806,0.081,1.821,0.175,3.949,3.277,0.171,9.068,7.288,11.505,5.708,7.194,17.288,17.356,20.106,12.102,17.232
